"","code","sws_description","unpd_code","unpd_description","compliant"
"1","0","wildcard",NA,NA,FALSE
"2","0000","Sudan (former)",NA,NA,FALSE
"3","005.01","South America, unspecified for population",NA,NA,FALSE
"4","011.01","Western Africa, unspecified for population",NA,NA,FALSE
"5","021.01","Northern America, unspecified for population",NA,NA,FALSE
"6","029.01","Caribbean, unspecified for population",NA,NA,FALSE
"7","039.01","Southern Europe, unspecified for population",NA,NA,FALSE
"8","057.01","Micronesia, unspecified for population",NA,NA,FALSE
"9","061.01","Polynesia, unspecified for population",NA,NA,FALSE
"10","1","World",NA,NA,FALSE
"11","10","Antarctica",NA,NA,FALSE
"12","100","Bulgaria","100","Bulgaria",TRUE
"13","1000","Dng LtCb EAA",NA,NA,FALSE
"14","1001","Dng Ocea EAA",NA,NA,FALSE
"15","1002","Dng Oth EAA",NA,NA,FALSE
"16","1003","Dd Afric EAA",NA,NA,FALSE
"17","1004","Dd Amer EAA",NA,NA,FALSE
"18","1005","Dd Asia EAA",NA,NA,FALSE
"19","1006","Dd Ocean EAA",NA,NA,FALSE
"20","1007","Dd W Eur EAA",NA,NA,FALSE
"21","1008","Dd E Eur EAA",NA,NA,FALSE
"22","1009","Dd USSR EAA",NA,NA,FALSE
"23","1010","Dg Af Ce EAA",NA,NA,FALSE
"24","1011","Dg Af Es EAA",NA,NA,FALSE
"25","1012","Dg Af NW EAA",NA,NA,FALSE
"26","1013","Dg Af SthEAA",NA,NA,FALSE
"27","1014","Dg Af Wt EAA",NA,NA,FALSE
"28","1015","Dg Anta EAA",NA,NA,FALSE
"29","1016","Dg As ESE",NA,NA,FALSE
"30","1017","Dg As NE EAA",NA,NA,FALSE
"31","1018","Dg As SthEAA",NA,NA,FALSE
"32","1019","Dg China EAA",NA,NA,FALSE
"33","1020","Dg Am NthEAA",NA,NA,FALSE
"34","1021","Dg Am CenEAA",NA,NA,FALSE
"35","1022","Dg Am CabEAA",NA,NA,FALSE
"36","1023","Dg Am SthEAA",NA,NA,FALSE
"37","1024","Dg Ocean EAA",NA,NA,FALSE
"38","1025","Dg OthersEAA",NA,NA,FALSE
"39","1026","Afr NtSahEAA",NA,NA,FALSE
"40","1027","Afr StSahEAA",NA,NA,FALSE
"41","1028","Cnt Am Carib",NA,NA,FALSE
"42","1029","Dd USSR Asia",NA,NA,FALSE
"43","1030","Dd USSR Euro",NA,NA,FALSE
"44","1031","Far East",NA,NA,FALSE
"45","1032","Near East",NA,NA,FALSE
"46","1033","FE & Oceania",NA,NA,FALSE
"47","1034","ESE As&China",NA,NA,FALSE
"48","1035","World,EAA",NA,NA,FALSE
"49","1036","Africa,EAA",NA,NA,FALSE
"50","1037","Dvd Ind,EAA",NA,NA,FALSE
"51","1038","Dvd NAmr,EAA",NA,NA,FALSE
"52","1039","Dvd WEur,EAA",NA,NA,FALSE
"53","104","Myanmar","104","Myanmar",TRUE
"54","1040","Dvd Ocen,EAA",NA,NA,FALSE
"55","1041","Dvd Oths,EAA",NA,NA,FALSE
"56","1042","Dvg LA&C,EAA",NA,NA,FALSE
"57","1043","Dvg N Af,EAA",NA,NA,FALSE
"58","1044","Dvg SbSh,EAA",NA,NA,FALSE
"59","1045","Dvg Oths,EAA",NA,NA,FALSE
"60","1046","Africa,EAA",NA,NA,FALSE
"61","1047","LAmerica,EAA",NA,NA,FALSE
"62","1048","Oceania,EAA",NA,NA,FALSE
"63","1049","Aus/Nwzl,EAA",NA,NA,FALSE
"64","1050","Oth,Oceania",NA,NA,FALSE
"65","1051","LDC's EAA",NA,NA,FALSE
"66","1052","Antartic EAA",NA,NA,FALSE
"67","1053","Devloped EAA",NA,NA,FALSE
"68","1054","RAP",NA,NA,FALSE
"69","1055","Developing",NA,NA,FALSE
"70","1056","Asia",NA,NA,FALSE
"71","1057","Asia (Fmr)",NA,NA,FALSE
"72","1058","World (Fmr)",NA,NA,FALSE
"73","1059","LIFDCs",NA,NA,FALSE
"74","1064","FAO MEMBERS",NA,NA,FALSE
"75","1065","FAO OFFICES",NA,NA,FALSE
"76","1067","SUB GROUP",NA,NA,FALSE
"77","1069","COUNTRY LIST",NA,NA,FALSE
"78","1070","SUAP",NA,NA,FALSE
"79","1071","SUATLA",NA,NA,FALSE
"80","1072","SUAFP",NA,NA,FALSE
"81","1073","SUAFD",NA,NA,FALSE
"82","1074","SUAFP",NA,NA,FALSE
"83","1075","SUAFD",NA,NA,FALSE
"84","1076","CBDCBDCAP",NA,NA,FALSE
"85","1077","LUIM",NA,NA,FALSE
"86","1078","LUILU",NA,NA,FALSE
"87","1079","LUII",NA,NA,FALSE
"88","108","Burundi","108","Burundi",TRUE
"89","1080","LUIP",NA,NA,FALSE
"90","1081","PINCP",NA,NA,FALSE
"91","1082","FoodAidFA",NA,NA,FALSE
"92","1083","TINCPD",NA,NA,FALSE
"93","1084","SUAPCP",NA,NA,FALSE
"94","1085","SUAPCD",NA,NA,FALSE
"95","1086","SUAPLP",NA,NA,FALSE
"96","1087","SUATCLP",NA,NA,FALSE
"97","1088","CBDCBDPLAP",NA,NA,FALSE
"98","1089","CBDCBDNPLAP",NA,NA,FALSE
"99","1090","N Amer (FAO)",NA,NA,FALSE
"100","1091","LatAmCar FAO",NA,NA,FALSE
"101","1092","SAfrica Dvng",NA,NA,FALSE
"102","1093","Far East",NA,NA,FALSE
"103","1094","Baltic Assem",NA,NA,FALSE
"104","1095","EU (15)",NA,NA,FALSE
"105","1096","Europ&Baltic(1991-)",NA,NA,FALSE
"106","1097","E SEAsia&Chn",NA,NA,FALSE
"107","1098","LAS",NA,NA,FALSE
"108","1099","World (Fmr)",NA,NA,FALSE
"109","1100","BSEC Dvng",NA,NA,FALSE
"110","1101","North Africa",NA,NA,FALSE
"111","1102","LA&C (EHDAX)",NA,NA,FALSE
"112","1103","OPEC",NA,NA,FALSE
"113","1104","CARIFORUM",NA,NA,FALSE
"114","1105","CEFTA",NA,NA,FALSE
"115","1106","LOWA",NA,NA,FALSE
"116","1107","USSR F Area(1992-)",NA,NA,FALSE
"117","1108","SSahara&SAfr",NA,NA,FALSE
"118","1109","Czech F Area(1993-)",NA,NA,FALSE
"119","1110","World",NA,NA,FALSE
"120","1111","WAEMU",NA,NA,FALSE
"121","1112","ESCWA",NA,NA,FALSE
"122","1113","FarEast&Ocea",NA,NA,FALSE
"123","1114","E SEAsia&Chn",NA,NA,FALSE
"124","1115","Asia",NA,NA,FALSE
"125","1116","Far East",NA,NA,FALSE
"126","1117","World",NA,NA,FALSE
"127","1118","FarEast&Ocea",NA,NA,FALSE
"128","1119","E SEAsia&Chn",NA,NA,FALSE
"129","112","Belarus","112","Belarus",TRUE
"130","1120","NearEAsia(Ot",NA,NA,FALSE
"131","1121","Asia&Pacific",NA,NA,FALSE
"132","1122","E&SE Asia,Ch",NA,NA,FALSE
"133","1123","Europe&Israe",NA,NA,FALSE
"134","1124","Eur&IsrExcEU",NA,NA,FALSE
"135","1125","NorthAmerica",NA,NA,FALSE
"136","1126","Amer Nth EAA",NA,NA,FALSE
"137","1127","Amer Lat EAA",NA,NA,FALSE
"138","1128","Amer Car EAA",NA,NA,FALSE
"139","1129","Asia EAA",NA,NA,FALSE
"140","1130","Europe EAA",NA,NA,FALSE
"141","1131","Oceania EAA",NA,NA,FALSE
"142","1132","Frm USSR EAA",NA,NA,FALSE
"143","1133","Wrld Oth EAA",NA,NA,FALSE
"144","1134","Dvd Ind EAA",NA,NA,FALSE
"145","1135","Dvd Tran EAA",NA,NA,FALSE
"146","1136","ProdPricesLP(1961-)",NA,NA,FALSE
"147","1137","All Unal Wld",NA,NA,FALSE
"148","1138","Asia Unal",NA,NA,FALSE
"149","1139","Africa Unal",NA,NA,FALSE
"150","1140","Oceania Unal",NA,NA,FALSE
"151","1141","ACM",NA,NA,FALSE
"152","1142","ECO",NA,NA,FALSE
"153","1143","MERCOSUR",NA,NA,FALSE
"154","1144","IGAD",NA,NA,FALSE
"155","1145","OAU",NA,NA,FALSE
"156","1146","SPF",NA,NA,FALSE
"157","1147","ACS",NA,NA,FALSE
"158","1148","AAAID",NA,NA,FALSE
"159","1149","PECC",NA,NA,FALSE
"160","1150","BSEC",NA,NA,FALSE
"161","1151","IORARC",NA,NA,FALSE
"162","1152","SPF Dvng",NA,NA,FALSE
"163","1153","PECC Dvng",NA,NA,FALSE
"164","1154","SPC Dvng&RsF",NA,NA,FALSE
"165","1155","IORARCDng&SA",NA,NA,FALSE
"166","1156","FS C and P",NA,NA,FALSE
"167","1157","FS C and PL",NA,NA,FALSE
"168","1158","FS C and NPL",NA,NA,FALSE
"169","1159","FCFC(1961-)",NA,NA,FALSE
"170","116","Cambodia","116","Cambodia",TRUE
"171","1160","FCAM(1961-)",NA,NA,FALSE
"172","1161","FCCA(1961-)",NA,NA,FALSE
"173","1162","FCPCS(1961-)",NA,NA,FALSE
"174","1164","LA&C (LIFDC)",NA,NA,FALSE
"175","1165","SubSa(LIFDC)",NA,NA,FALSE
"176","1166","EHDAX",NA,NA,FALSE
"177","1167","SubSa(EHDAX)",NA,NA,FALSE
"178","1168","LIFDCs(SOFA)",NA,NA,FALSE
"179","1169","SAFR",NA,NA,FALSE
"180","1170","SAPA",NA,NA,FALSE
"181","1171","SEUR",NA,NA,FALSE
"182","1172","SLAC",NA,NA,FALSE
"183","1173","SNEA",NA,NA,FALSE
"184","1174","NFIDC",NA,NA,FALSE
"185","1175","FE&P (EHDAX)",NA,NA,FALSE
"186","1176","Asia Dvng",NA,NA,FALSE
"187","1177","SUAPLTI(1961-)",NA,NA,FALSE
"188","1178","SUAPLTS(1961-)",NA,NA,FALSE
"189","1179","SUAPLD",NA,NA,FALSE
"190","1180","ACP Africa",NA,NA,FALSE
"191","1181","ACP Caribbn",NA,NA,FALSE
"192","1182","ACP Pacific",NA,NA,FALSE
"193","1183","ACP SugarPro",NA,NA,FALSE
"194","1184","Africa (FAO)",NA,NA,FALSE
"195","1185","Developed",NA,NA,FALSE
"196","1186","CACEU",NA,NA,FALSE
"197","1187","AMU",NA,NA,FALSE
"198","1188","SPEC",NA,NA,FALSE
"199","1189","LUIF",NA,NA,FALSE
"200","1190","SUAPLS",NA,NA,FALSE
"201","1191","FBSFBS",NA,NA,FALSE
"202","1192","ProdPricesCP(1961-)",NA,NA,FALSE
"203","1193","America Unal",NA,NA,FALSE
"204","1194","FCAP(1961-)",NA,NA,FALSE
"205","1195","NE&NA(LIFDC)",NA,NA,FALSE
"206","1196","IGAG",NA,NA,FALSE
"207","1197","GCC",NA,NA,FALSE
"208","1198","World AT2030",NA,NA,FALSE
"209","1199","AOAD",NA,NA,FALSE
"210","12","Algeria","12","Algeria",TRUE
"211","120","Cameroon","120","Cameroon",TRUE
"212","1200","CEN-SAD",NA,NA,FALSE
"213","1205","EU (25)",NA,NA,FALSE
"214","1216","EU (27)",NA,NA,FALSE
"215","124","Canada","124","Canada",TRUE
"216","1248","China, Main",NA,NA,FALSE
"217","1249","China (excl. Hong Kong and Macao)",NA,NA,FALSE
"218","128","Canton Is",NA,NA,FALSE
"219","132","Cabo Verde","132","Cabo Verde",TRUE
"220","136","Cayman Islands","136","Cayman Islands",TRUE
"221","140","Central African Republic","140","Central African Republic",TRUE
"222","144","Sri Lanka","144","Sri Lanka",TRUE
"223","148","Chad","148","Chad",TRUE
"224",NA,NA,"1500","Low-income countries",FALSE
"225",NA,NA,"1501","Lower-middle-income countries",FALSE
"226",NA,NA,"1502","Upper-middle-income countries",FALSE
"227",NA,NA,"1503","High-income countries",FALSE
"228",NA,NA,"1517","Middle-income countries",FALSE
"229",NA,NA,"1518","No income group available",FALSE
"230","152","Chile","152","Chile",TRUE
"231","154.01","Northern Europe, unspecified for population",NA,NA,FALSE
"232","155.01","Western Europe, unspecified for population",NA,NA,FALSE
"233","156","China","156","China",TRUE
"234","158","China,Taiwan","158","China, Taiwan Province of China",TRUE
"235","16","American Samoa","16","American Samoa",TRUE
"236","162","Christmas Is",NA,NA,FALSE
"237",NA,NA,"1636","Land-locked Developing Countries (LLDC)",FALSE
"238",NA,NA,"1637","Small Island Developing States (SIDS)",FALSE
"239","166","Cocos Is",NA,NA,FALSE
"240","170","Colombia","170","Colombia",TRUE
"241","174","Comoros","174","Comoros",TRUE
"242","175","Mayotte","175","Mayotte",TRUE
"243","178","Congo","178","Congo",TRUE
"244","180","Democratic Republic of the Congo","180","Democratic Republic of the Congo",TRUE
"245",NA,NA,"1802","World Bank income groups",FALSE
"246",NA,NA,"1803","UN development groups",FALSE
"247",NA,NA,"1828","Sustainable Development Goal (SDG) regions",FALSE
"248",NA,NA,"1829","EUROPE AND NORTHERN AMERICA",FALSE
"249",NA,NA,"1830","LATIN AMERICA AND THE CARIBBEAN",FALSE
"250",NA,NA,"1832","EASTERN AND SOUTH-EASTERN ASIA",FALSE
"251",NA,NA,"1833","NORTHERN AFRICA AND WESTERN ASIA",FALSE
"252",NA,NA,"1835","OCEANIA (EXCLUDING AUSTRALIA AND NEW ZEALAND)",FALSE
"253","184","Cook Islands","184","Cook Islands",TRUE
"254",NA,NA,"1840","Geographic regions",FALSE
"255","188","Costa Rica","188","Costa Rica",TRUE
"256","191","Croatia","191","Croatia",TRUE
"257","192","Cuba","192","Cuba",TRUE
"258","196","Cyprus","196","Cyprus",TRUE
"259","20","Andorra","20","Andorra",TRUE
"260","200","Czechoslovak(-1992)",NA,NA,FALSE
"261","203","Czechia","203","Czechia",TRUE
"262","204","Benin","204","Benin",TRUE
"263","208","Denmark","208","Denmark",TRUE
"264","212","Dominica","212","Dominica",TRUE
"265","214","Dominican Republic","214","Dominican Republic",TRUE
"266","218","Ecuador","218","Ecuador",TRUE
"267","222","El Salvador","222","El Salvador",TRUE
"268","226","Equatorial Guinea","226","Equatorial Guinea",TRUE
"269","230","Ethiopia PDR(-1992)",NA,NA,FALSE
"270","231","Ethiopia","231","Ethiopia",TRUE
"271","232","Eritrea","232","Eritrea",TRUE
"272","233","Estonia","233","Estonia",TRUE
"273","234","Faroe Islands","234","Faroe Islands",TRUE
"274","238","Falkland Islands (Malvinas)","238","Falkland Islands (Malvinas)",TRUE
"275","239","SouthGeorgia/Sandwich Is",NA,NA,FALSE
"276","24","Angola","24","Angola",TRUE
"277","242","Fiji","242","Fiji",TRUE
"278","246","Finland","246","Finland",TRUE
"279","248","Åland Islands",NA,NA,FALSE
"280","250","France","250","France",TRUE
"281","254","French Guiana","254","French Guiana",TRUE
"282","258","French Polynesia","258","French Polynesia",TRUE
"283","260","Fr South Ter",NA,NA,FALSE
"284","262","Djibouti","262","Djibouti",TRUE
"285","266","Gabon","266","Gabon",TRUE
"286","268","Georgia","268","Georgia",TRUE
"287","270","Gambia","270","Gambia",TRUE
"288","274","Gaza Strip(-1995)",NA,NA,FALSE
"289","275","Palestine(1996-)","275","State of Palestine",TRUE
"290","276","Germany","276","Germany",TRUE
"291","278","Germany Nl",NA,NA,FALSE
"292","28","Antigua and Barbuda","28","Antigua and Barbuda",TRUE
"293","280","Germany Fr",NA,NA,FALSE
"294","288","Ghana","288","Ghana",TRUE
"295","292","Gibraltar","292","Gibraltar",TRUE
"296","296","Kiribati","296","Kiribati",TRUE
"297","300","Greece","300","Greece",TRUE
"298","304","Greenland","304","Greenland",TRUE
"299","308","Grenada","308","Grenada",TRUE
"300","31","Azerbaijan","31","Azerbaijan",TRUE
"301","312","Guadeloupe","312","Guadeloupe",TRUE
"302","316","Guam","316","Guam",TRUE
"303","32","Argentina","32","Argentina",TRUE
"304","320","Guatemala","320","Guatemala",TRUE
"305","324","Guinea","324","Guinea",TRUE
"306","328","Guyana","328","Guyana",TRUE
"307","332","Haiti","332","Haiti",TRUE
"308","334","Heard Is",NA,NA,FALSE
"309","336","Holy See","336","Holy See",TRUE
"310","340","Honduras","340","Honduras",TRUE
"311","344","China,H.Kong","344","China, Hong Kong SAR",TRUE
"312","348","Hungary","348","Hungary",TRUE
"313","352","Iceland","352","Iceland",TRUE
"314","356","India","356","India",TRUE
"315","36","Australia","36","Australia",TRUE
"316","360","Indonesia","360","Indonesia",TRUE
"317","364","Iran (Islamic Republic of)","364","Iran (Islamic Republic of)",TRUE
"318","368","Iraq","368","Iraq",TRUE
"319","372","Ireland","372","Ireland",TRUE
